File,Key,Context,English,"Chinese Simplified",Russian
translations.csv,app_version,app_version,"Version: {app_version}",软件版本,"Версия приложения {app_version}"
translations.csv,loading,loading,Loading…,载入,Загрузка…
translations.csv,terms_and_conditions,terms_and_conditions,"Terms & Conditions",条款和条件,"Terms & Conditions"
translations.csv,privacy_policy,privacy_policy,"Privacy Policy",隐私政策,"Privacy Policy"
translations.csv,home_page.title,home_page.title,@:today,@:today,@:today
translations.csv,empty_card.now,empty_card.now,"@:mood now",@:today,"@:mood сейчас"
translations.csv,empty_card.part_of_day,empty_card.part_of_day,"@:mood {part_of_day_in_instrumental_case}","@:mood {part_of_day_in_instrumental_case}","@:mood {part_of_day_in_instrumental_case}"
translations.csv,bottom_navigation_bar.home,bottom_navigation_bar.home,Home,@:mood,Главная
translations.csv,bottom_navigation_bar.chart,bottom_navigation_bar.chart,Chart,"@:mood {part_of_day_in_instrumental_case}",График
translations.csv,bottom_navigation_bar.events,bottom_navigation_bar.events,Events,Events,События
translations.csv,bottom_navigation_bar.calendar,bottom_navigation_bar.calendar,Calendar,首页,Календарь
translations.csv,subscription_banner.title,subscription_banner.title,"Free access","图表 ","Бесплатный доступ"
translations.csv,subscription_banner.description,subscription_banner.description,"All beta testers can use the app for free.",活动,"Все бета-тестеры могут использовать приложение бесплатно."
translations.csv,profile_screen.title,profile_screen.title,Profile,日历,Профиль
translations.csv,profile_screen.menu.account,profile_screen.menu.account,Account,Account,Аккаунт
translations.csv,profile_screen.menu.account.not_authorized,profile_screen.menu.account.not_authorized,"Not authorized",免费使用,"Не авторизован"
translations.csv,profile_screen.menu.notifications,profile_screen.menu.notifications,Notifications,所有测试者均可免费使用该应用,Уведомления
translations.csv,profile_screen.menu.notifications.no_notifications,profile_screen.menu.notifications.no_notifications,@:no_notifications,@:no_notifications,@:no_notifications
translations.csv,profile_screen.menu.notifications.permissions_missing,profile_screen.menu.notifications.permissions_missing,"Permissions missing",设备,"Отсутствуют разрешения"
translations.csv,profile_screen.menu.language,profile_screen.menu.language,Language,账户,Язык
translations.csv,profile_screen.menu.about,profile_screen.menu.about,About,"未经授权 ","О приложении"
translations.csv,profile_screen.menu.contact,profile_screen.menu.contact,"Contact us",通知,Связаться
translations.csv,about_screen.title,about_screen.title,@:profile_screen.menu.about,没有通知,@:profile_screen.menu.about
translations.csv,about_screen.menu.terms,about_screen.menu.terms,@:terms_and_conditions,语言,@:terms_and_conditions
translations.csv,about_screen.menu.privacy,about_screen.menu.privacy,@:privacy_policy,了解App,@:privacy_policy
translations.csv,about_screen.menu.onboarding,about_screen.menu.onboarding,"User manual",与我们联系,"Пройти обучение"
translations.csv,language_screen.title,language_screen.title,@:profile_screen.menu.language,@:profile_screen.menu.language,@:profile_screen.menu.language
translations.csv,events_page.title,events_page.title,"Events for all time",@:profile_screen.menu.about,"События за всё время"
